date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,pair_kpa,prcp_mm,etr_mm,eto_mm
2000-01-01,2000,1,1,46.1500000000,-105.8083333000,776.2399902344,1.7950824499,-7.5499877930,4.3500061035,74.0000000000,0.4110434625,92.4546677394,3.5000000000,0.8000000119,0.4000000060
2000-01-02,2000,1,2,46.1500000000,-105.8083333000,776.2399902344,1.8698774576,-11.8500061035,1.7500000000,65.9000015259,0.3784479161,92.4546677394,0.3000000119,0.5000000000,0.3000000119
2000-01-03,2000,1,3,46.1500000000,-105.8083333000,776.2399902344,2.0194678307,-19.1499938965,-4.8500061035,55.4000015259,0.1930806890,92.4546677394,0.0000000000,0.6000000238,0.3000000119
2000-01-04,2000,1,4,46.1500000000,-105.8083333000,776.2399902344,2.8422138691,-17.1499938965,3.4500122070,67.4000015259,0.3191609948,92.4546677394,0.0000000000,1.0000000000,0.6000000238
2000-01-05,2000,1,5,46.1500000000,-105.8083333000,776.2399902344,4.2633209229,-7.4499816895,4.1499938965,56.0000000000,0.4065991292,92.4546677394,0.0000000000,1.3999999762,0.9000000358
2000-01-06,2000,1,6,46.1500000000,-105.8083333000,776.2399902344,2.9918041229,-8.8500061035,1.9500122070,65.9000015259,0.3606648652,92.4546677394,0.0000000000,1.0000000000,0.6000000238
2000-01-07,2000,1,7,46.1500000000,-105.8083333000,776.2399902344,3.8893456459,-8.6499938965,4.8500061035,77.7000045776,0.3428792242,92.4546677394,0.0000000000,1.8000000715,1.1000000238
2000-01-08,2000,1,8,46.1500000000,-105.8083333000,776.2399902344,3.0665991306,-8.6499938965,3.9500122070,77.0999984741,0.3710386377,92.4546677394,0.0000000000,1.3000000715,0.6999999881
2000-01-09,2000,1,9,46.1500000000,-105.8083333000,776.2399902344,3.9641406536,-7.7500000000,3.5500183105,79.7000045776,0.3695567143,92.4546677394,0.0000000000,1.5000000000,0.9000000358
2000-01-10,2000,1,10,46.1500000000,-105.8083333000,776.2399902344,5.3104524612,-12.4499816895,1.5500183105,80.8000030518,0.2939553519,92.4546677394,0.0000000000,1.5000000000,0.9000000358
2000-01-11,2000,1,11,46.1500000000,-105.8083333000,776.2399902344,2.6178286076,-12.8500061035,-0.5499877930,71.5999984741,0.2984037865,92.4546677394,0.0000000000,0.6999999881,0.4000000060
2000-01-12,2000,1,12,46.1500000000,-105.8083333000,776.2399902344,2.3934433460,-14.3500061035,1.3500061035,80.5999984741,0.2939553519,92.4546677394,0.0000000000,0.9000000358,0.5000000000
2000-01-13,2000,1,13,46.1500000000,-105.8083333000,776.2399902344,2.5430335999,-14.9499816895,-0.9499816895,84.2000045776,0.2524288034,92.4546677394,0.0000000000,0.8000000119,0.5000000000
2000-01-14,2000,1,14,46.1500000000,-105.8083333000,776.2399902344,1.7202873230,-11.2500000000,1.9500122070,79.7000045776,0.3443614714,92.4546677394,0.0000000000,0.6999999881,0.4000000060
2000-01-15,2000,1,15,46.1500000000,-105.8083333000,776.2399902344,1.3463118076,-9.3500061035,2.9500122070,40.9000015259,0.3206435298,92.4546677394,0.0000000000,0.9000000358,0.6000000238
2000-01-16,2000,1,16,46.1500000000,-105.8083333000,776.2399902344,3.0665991306,-10.5499877930,5.1499938965,80.2000045776,0.3013693081,92.4546677394,0.0000000000,1.8000000715,1.1000000238
2000-01-17,2000,1,17,46.1500000000,-105.8083333000,776.2399902344,3.2909846306,-5.7500000000,9.1499938965,86.5999984741,0.3354677874,92.4546677394,0.0000000000,2.7999999523,1.6000000238
2000-01-18,2000,1,18,46.1500000000,-105.8083333000,776.2399902344,1.7202873230,-7.3500061035,6.3500061035,88.4000015259,0.2806090759,92.4546677394,0.0000000000,1.6000000238,0.9000000358
2000-01-19,2000,1,19,46.1500000000,-105.8083333000,776.2399902344,2.3934433460,-13.4499816895,0.3500061035,65.0999984741,0.2420449690,92.4546677394,0.0000000000,1.2000000477,0.6999999881
2000-01-20,2000,1,20,46.1500000000,-105.8083333000,776.2399902344,0.8975412250,-13.9499816895,0.1499938965,72.0999984741,0.1960487682,92.4546677394,0.0000000000,0.6999999881,0.5000000000
2000-01-21,2000,1,21,46.1500000000,-105.8083333000,776.2399902344,3.0665991306,-9.7500000000,8.4500122070,86.7000045776,0.3147133161,92.4546677394,0.0000000000,2.5000000000,1.5000000000
2000-01-22,2000,1,22,46.1500000000,-105.8083333000,776.2399902344,2.9918041229,-10.9499816895,3.2500000000,52.6000022888,0.2672613416,92.4546677394,0.0000000000,1.8000000715,1.1000000238
2000-01-23,2000,1,23,46.1500000000,-105.8083333000,776.2399902344,2.1690580845,-15.4499816895,2.3500061035,94.5999984741,0.2539121487,92.4546677394,0.0000000000,1.2000000477,0.6999999881
2000-01-24,2000,1,24,46.1500000000,-105.8083333000,776.2399902344,1.7950824499,-12.4499816895,-1.2500000000,63.9000015259,0.2613285355,92.4546677394,0.0000000000,0.8000000119,0.5000000000
2000-01-25,2000,1,25,46.1500000000,-105.8083333000,776.2399902344,2.3934433460,-15.5499877930,2.8500061035,93.5000000000,0.2108881520,92.4546677394,0.0000000000,1.6000000238,1.0000000000
2000-01-26,2000,1,26,46.1500000000,-105.8083333000,776.2399902344,2.0194678307,-8.6499938965,6.8500061035,64.0000000000,0.3577007830,92.4546677394,0.0000000000,1.6000000238,1.0000000000
2000-01-27,2000,1,27,46.1500000000,-105.8083333000,776.2399902344,2.5430335999,-8.0499877930,4.0500183105,79.5999984741,0.3339854323,92.4546677394,0.0000000000,1.5000000000,0.9000000358
2000-01-28,2000,1,28,46.1500000000,-105.8083333000,776.2399902344,1.7202873230,-11.9499816895,3.8500061035,100.3000030518,0.2435284230,92.4546677394,0.0000000000,1.3999999762,0.9000000358
2000-01-29,2000,1,29,46.1500000000,-105.8083333000,776.2399902344,1.2715167999,-11.7500000000,3.0500183105,102.5000000000,0.2197909105,92.4546677394,0.0000000000,1.2000000477,0.6999999881
2000-01-30,2000,1,30,46.1500000000,-105.8083333000,776.2399902344,1.7950824499,-13.1499938965,4.2500000000,105.9000015259,0.1945647376,92.4546677394,0.0000000000,1.7000000477,1.0000000000
2000-01-31,2000,1,31,46.1500000000,-105.8083333000,776.2399902344,1.4211069345,-13.0499877930,1.3500061035,108.2000045776,0.1886284177,92.4546677394,0.0000000000,1.2000000477,0.6999999881
2000-02-01,2000,2,1,46.1500000000,-105.8083333000,776.2399902344,3.0665991306,-11.2500000000,5.2500000000,81.4000015259,0.2331438320,92.4546677394,0.0000000000,2.4000000954,1.5000000000
2000-02-02,2000,2,2,46.1500000000,-105.8083333000,776.2399902344,4.2633209229,-5.0499877930,7.4500122070,63.5000000000,0.4924942560,92.4546677394,0.0000000000,1.8999999762,1.2000000477
2000-02-03,2000,2,3,46.1500000000,-105.8083333000,776.2399902344,3.4405746460,-10.7500000000,-0.0499877930,54.2999992371,0.3991915590,92.4546677394,0.0000000000,0.4000000060,0.3000000119
2000-02-04,2000,2,4,46.1500000000,-105.8083333000,776.2399902344,2.1690580845,-13.3500061035,1.3500061035,97.5000000000,0.2316602518,92.4546677394,0.0000000000,1.3999999762,0.9000000358
2000-02-05,2000,2,5,46.1500000000,-105.8083333000,776.2399902344,1.4959020615,-9.7500000000,2.8500061035,88.4000015259,0.3073001698,92.4546677394,0.0000000000,1.1000000238,0.6999999881
2000-02-06,2000,2,6,46.1500000000,-105.8083333000,776.2399902344,2.7674188614,-8.5499877930,6.4500122070,97.0999984741,0.4169690000,92.4546677394,0.0000000000,1.5000000000,1.0000000000
2000-02-07,2000,2,7,46.1500000000,-105.8083333000,776.2399902344,2.6926236153,-8.1499938965,7.7500000000,98.4000015259,0.4377060652,92.4546677394,0.0000000000,1.7000000477,1.1000000238
2000-02-08,2000,2,8,46.1500000000,-105.8083333000,776.2399902344,3.0665991306,-4.5499877930,13.0500183105,80.8000030518,0.4125248825,92.4546677394,0.0000000000,3.4000000954,2.1000001431
2000-02-09,2000,2,9,46.1500000000,-105.8083333000,776.2399902344,2.6926236153,-3.2500000000,10.6499938965,85.0999984741,0.4880528872,92.4546677394,2.5000000000,2.4000000954,1.5000000000
2000-02-10,2000,2,10,46.1500000000,-105.8083333000,776.2399902344,2.4682383537,-14.0499877930,1.1499938965,52.9000015259,0.2954381930,92.4546677394,0.3000000119,1.0000000000,0.6999999881
2000-02-11,2000,2,11,46.1500000000,-105.8083333000,776.2399902344,2.4682383537,-16.3500061035,-3.8500061035,73.0999984741,0.2242420465,92.4546677394,0.8000000119,0.8000000119,0.5000000000
2000-02-12,2000,2,12,46.1500000000,-105.8083333000,776.2399902344,1.7950824499,-14.2500000000,-6.2500000000,48.9000015259,0.2880238595,92.4546677394,0.5000000000,0.2000000030,0.2000000030
2000-02-13,2000,2,13,46.1500000000,-105.8083333000,776.2399902344,1.7202873230,-14.1499938965,-3.1499938965,70.0000000000,0.2479786943,92.4546677394,0.5000000000,0.6999999881,0.5000000000
2000-02-14,2000,2,14,46.1500000000,-105.8083333000,776.2399902344,2.4682383537,-13.7500000000,-0.8500061035,73.2000045776,0.2806090759,92.4546677394,1.2000000477,0.9000000358,0.6000000238
2000-02-15,2000,2,15,46.1500000000,-105.8083333000,776.2399902344,1.7950824499,-13.1499938965,-2.5499877930,77.4000015259,0.3384324092,92.4546677394,0.0000000000,0.4000000060,0.3000000119
2000-02-16,2000,2,16,46.1500000000,-105.8083333000,776.2399902344,0.9723364115,-11.1499938965,1.8500061035,99.0999984741,0.3073001698,92.4546677394,0.0000000000,0.9000000358,0.6999999881
2000-02-17,2000,2,17,46.1500000000,-105.8083333000,776.2399902344,0.8227461576,-13.5499877930,-0.1499938965,118.7000045776,0.2642949746,92.4546677394,0.0000000000,0.6999999881,0.6000000238
2000-02-18,2000,2,18,46.1500000000,-105.8083333000,776.2399902344,1.7950824499,-15.1499938965,0.7500000000,119.5999984741,0.2494620935,92.4546677394,0.0000000000,1.1000000238,0.8000000119
2000-02-19,2000,2,19,46.1500000000,-105.8083333000,776.2399902344,2.8422138691,-11.9499816895,5.2500000000,121.4000015259,0.2583620417,92.4546677394,0.0000000000,2.2000000477,1.3999999762
2000-02-20,2000,2,20,46.1500000000,-105.8083333000,776.2399902344,2.3934433460,-8.3500061035,10.3500061035,123.2000045776,0.3028520592,92.4546677394,0.0000000000,2.9000000954,1.8999999762
2000-02-21,2000,2,21,46.1500000000,-105.8083333000,776.2399902344,2.7674188614,-4.7500000000,17.4500122070,119.9000015259,0.4228942155,92.4546677394,0.0000000000,4.4000000954,2.7999999523
2000-02-22,2000,2,22,46.1500000000,-105.8083333000,776.2399902344,1.8698774576,-3.1499938965,15.1499938965,121.8000030518,0.5368990561,92.4546677394,0.0000000000,2.7000000477,1.8000000715
2000-02-23,2000,2,23,46.1500000000,-105.8083333000,776.2399902344,1.6454923153,-1.9499816895,14.7500000000,124.5000000000,0.5250593673,92.4546677394,0.0000000000,2.6000001431,1.8000000715
2000-02-24,2000,2,24,46.1500000000,-105.8083333000,776.2399902344,1.9446728230,-3.4499816895,13.2500000000,118.2000045776,0.5250593673,92.4546677394,1.6000000238,2.5000000000,1.7000000477
2000-02-25,2000,2,25,46.1500000000,-105.8083333000,776.2399902344,5.5348377228,-4.3500061035,7.3500061035,54.0000000000,0.6019968685,92.4546677394,14.4000005722,1.3000000715,0.9000000358
2000-02-26,2000,2,26,46.1500000000,-105.8083333000,776.2399902344,4.1885256767,-7.0499877930,6.2500000000,114.5000000000,0.3843750357,92.4546677394,0.0000000000,2.4000000954,1.6000000238
2000-02-27,2000,2,27,46.1500000000,-105.8083333000,776.2399902344,2.7674188614,-6.2500000000,11.8500061035,110.5999984741,0.4243754917,92.4546677394,0.0000000000,3.0000000000,2.0000000000
2000-02-28,2000,2,28,46.1500000000,-105.8083333000,776.2399902344,3.4405746460,-1.9499816895,12.8500061035,132.3000030518,0.4865723836,92.4546677394,0.0000000000,3.6000001431,2.4000000954
2000-02-29,2000,2,29,46.1500000000,-105.8083333000,776.2399902344,1.6454923153,0.1499938965,10.4500122070,94.0000000000,0.3917835049,92.4546677394,0.0000000000,2.5000000000,1.7000000477
2000-03-01,2000,3,1,46.1500000000,-105.8083333000,776.2399902344,2.0942628384,-3.8500061035,12.0500183105,125.0999984741,0.4791696648,92.4546677394,0.0000000000,2.6000001431,1.8000000715
